"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 01 17:25:31 UTC 2026","Tue Sep 01 17:25:31 UTC 2026","0","test","test_auth","Test_auth_TestAutomationExercise","","","Login with correct email and password",""
"passed","Tue Sep 01 17:27:40 UTC 2026","Tue Sep 01 17:27:41 UTC 2026","1081","test","test_cart_page","Test_cart_page_TestAutomationExercise","","","test_verify_product_quantity_in_cart[chromium]",""
"passed","Tue Sep 01 17:23:26 UTC 2026","Tue Sep 01 17:23:26 UTC 2026","536","test","auto_test","TestAutomationExercise","","","test_verify_scroll_up_using_arrow_button_and_scroll_down_functionality[firefox]",""
"failed","Tue Sep 01 17:22:53 UTC 2026","Tue Sep 01 17:23:24 UTC 2026","30968","test","auto_test","TestAutomationExercise","","","Download invoice after purchase order",""
"broken","Tue Sep 01 17:20:34 UTC 2026","Tue Sep 01 17:20:34 UTC 2026","287","test","auto_test","TestAutomationExercise","","","Search products and verify cart after logjn",""
"passed","Tue Sep 01 17:19:48 UTC 2026","Tue Sep 01 17:19:53 UTC 2026","4894","test","auto_test","TestAutomationExercise","","","test_contact_us_form[chromium]",""
"broken","Tue Sep 01 17:35:36 UTC 2026","Tue Sep 01 17:35:37 UTC 2026","638","test","test_products","Test_products_TestAutomationExercise","","","test_search_product[chromium]",""
"broken","Tue Sep 01 17:35:56 UTC 2026","Tue Sep 01 17:35:56 UTC 2026","444","test","test_products","Test_products_TestAutomationExercise","","","test_search_product[firefox]",""
"broken","Tue Sep 01 17:34:58 UTC 2026","Tue Sep 01 17:34:58 UTC 2026","582","test","test_products","Test_products_TestAutomationExercise","","","test_verify_all_products_and_product_detail_page[chromium]",""
"broken","Tue Sep 01 17:30:15 UTC 2026","Tue Sep 01 17:30:23 UTC 2026","8080","test","test_place_order","Test_place_order_TestAutomationExercise","","","Add products in cart",""
"broken","Tue Sep 01 17:20:32 UTC 2026","Tue Sep 01 17:20:33 UTC 2026","621","test","auto_test","TestAutomationExercise","","","Search products and verify cart after logjn",""
